step,time,event,robot_id,fp_index,x,y,victim_index,robots,mean_signal
0,0.0,detect_fp,1.0,5.0,2.759882556935448,3.941241020062315,,,
0,0.0,detect_fp,1.0,7.0,2.759882556935448,3.941241020062315,,,
0,0.0,detect_fp,2.0,1.0,6.255312640674424,0.7497839850785469,,,
0,0.0,detect_fp,3.0,7.0,0.867675003250529,2.941278490140223,,,
0,0.0,detect_fp,6.0,1.0,5.217448619965359,1.0822537528319245,,,
0,0.0,detect_fp,6.0,2.0,5.217448619965359,1.0822537528319245,,,
0,0.0,detect_fp,7.0,2.0,5.723222607248926,3.428227284561296,,,
0,0.0,detect_fp,7.0,4.0,5.723222607248926,3.428227284561296,,,
0,0.0,detect_fp,8.0,0.0,4.3960498952153575,4.611253887211781,,,
0,0.0,detect_fp,9.0,8.0,8.498170807026908,9.390470742425453,,,
0,0.0,detect_victim,10.0,,1.8822824715849251,6.737586608434869,1.0,,
0,0.0,detect_fp,15.0,7.0,1.2390744323857956,4.602884683707704,,,
0,0.0,detect_fp,16.0,5.0,2.260125878508635,4.712280172496609,,,
0,0.0,detect_fp,16.0,7.0,2.260125878508635,4.712280172496609,,,
0,0.0,detect_fp,17.0,5.0,2.1105328969146235,3.6329671053920554,,,
0,0.0,detect_fp,17.0,7.0,2.1105328969146235,3.6329671053920554,,,
0,0.0,detect_fp,18.0,3.0,5.578458159555966,8.096842025568334,,,
0,0.0,detect_fp,18.0,6.0,5.578458159555966,8.096842025568334,,,
0,0.0,detect_fp,19.0,5.0,1.8934997886489107,4.238579988300114,,,
0,0.0,detect_fp,19.0,7.0,1.8934997886489107,4.238579988300114,,,
0,0.0,fp_resolved,,0.0,,,,R7;R8;R17;R18,0.13380924861311608
0,0.0,fp_resolved,,1.0,,,,R2;R6;R11;R12,0.16195664907992866
0,0.0,fp_resolved,,2.0,,,,R3;R4;R13;R14,0.0
0,0.0,fp_resolved,,3.0,,,,R5;R9,0.0
6,0.6000000000000001,detect_fp,8.0,4.0,4.523972369916123,4.732685831175735,,,
7,0.7000000000000001,detect_fp,3.0,5.0,1.4833903960308723,3.2030075254634225,,,
7,0.7000000000000001,detect_victim,15.0,,1.477788286680027,5.0633552839618785,1.0,,
9,0.9,detect_victim,16.0,,1.7359923362087073,5.130973873603889,1.0,,
10,1.0,detect_fp,18.0,8.0,6.2501109404956114,7.773734986351559,,,
13,1.3,detect_victim,19.0,,1.8742369192102164,5.200334325313875,1.0,,
15,1.5,detect_victim,0.0,,1.2369562042381763,7.9080659487949205,1.0,,
15,1.5,detect_victim,18.0,,6.748217111073113,7.745214174391368,0.0,,
19,1.9000000000000001,detect_victim,1.0,,2.1800225745412347,5.332455927109011,1.0,,
24,2.4000000000000004,detect_victim,9.0,,9.184412378711116,8.58592805420793,0.0,,
30,3.0,detect_fp,5.0,8.0,6.181422324033941,8.488638233482684,,,
37,3.7,detect_victim,5.0,,6.821443669890794,8.20517355027858,0.0,,
44,4.4,detect_victim,8.0,,7.29509174940571,6.45546467251446,0.0,,
45,4.5,detect_fp,17.0,4.0,4.51922354905081,4.58092558855528,,,
51,5.1000000000000005,detect_fp,8.0,8.0,7.719425316691271,6.940786123829165,,,
53,5.300000000000001,detect_fp,3.0,4.0,4.495363680572214,4.7839462365638505,,,
69,6.9,detect_victim,14.0,,9.633404994021161,7.4954508442206915,0.0,,
78,7.800000000000001,detect_victim,12.0,,9.63667055263531,7.490090128945972,0.0,,
80,8.0,detect_fp,14.0,8.0,8.948992655255502,7.876977893625012,,,
80,8.0,victim_consensus_reached,,,,,,,
89,8.9,detect_fp,12.0,8.0,8.984372379323613,7.853125969152907,,,
